loan_amount,term,int_rate,installment,applicant,loan_length,home_ownership,annual_income,state
30000,"36 months",5.0000,99.9999,Foreman,"1 year",MORTGAGE,100000,AR
14000,"36 months",8.1900,99.9999,"Restaurant Manager","< 1 year",RENT,65000,NV
5000,"36 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,17000,MS
31000,"60 months",9.9999,99.9999,Driver,"4 years",MORTGAGE,85000,FL
37800,"36 months",8.1900,99.9999,"""","< 1 year",MORTGAGE,150000,WY
20000,"36 months",9.9999,99.9999,"""","< 1 year",RENT,55000,KY
10000,"60 months",9.9999,99.9999,"General manager","6 years",MORTGAGE,49500,CO
10000,"36 months",7.5600,99.9999,"""",n/a,MORTGAGE,50000,AZ
3025,"36 months",9.9999,98.0800,Driver,"3 years",MORTGAGE,60000,GA
10000,"36 months",9.9999,99.9999,Dispatch,"2 years",RENT,28000,GA
10000,"36 months",8.8100,99.9999,"IT project manager","< 1 year",MORTGAGE,73000,VA
17000,"36 months",7.5600,99.9999,"Assistant General Manager","10+ years",MORTGAGE,120000,PA
20000,"36 months",8.1900,99.9999,"Workforce Consultant","3 years",RENT,41000,MT
8000,"36 months",9.9999,99.9999,"""",n/a,RENT,12276,AL
14000,"60 months",9.9999,99.9999,"fixture builder","3 years",MORTGAGE,67000,MI
30000,"36 months",8.8100,99.9999,"CORPROATE RADIOLOGY EXPERT","10+ years",MORTGAGE,115000,TX
12000,"36 months",9.9999,99.9999,"Dietary Services Manager","2 years",MORTGAGE,55000,CO
24000,"36 months",8.8100,99.9999,Co,"10+ years",MORTGAGE,64000,NY
12000,"36 months",5.0000,99.9999,"""",n/a,MORTGAGE,28280,IL
5000,"36 months",5.0000,99.9999,CSR,"< 1 year",MORTGAGE,28000,MI
30000,"60 months",9.9999,99.9999,"Shipping/Rec. Manager","10+ years",MORTGAGE,70000,KS
10000,"60 months",9.9999,99.9999,"Call Steward","10+ years",RENT,80000,KY
11000,"60 months",8.1900,99.9999,Baker,"4 years",RENT,40000,CO
20000,"36 months",9.9999,99.9999,Mgr,"3 years",OWN,96000,KY
16800,"60 months",9.9999,99.9999,"Assistant Director of child nu","3 years",MORTGAGE,49783,SC
35000,"60 months",9.9999,99.9999,RN,"10+ years",MORTGAGE,89000,WV
8000,"36 months",9.9999,99.9999,"Dental  Assistant","10+ years",RENT,42000,CA
35000,"36 months",9.9999,99.9999,Manager,"3 years",RENT,180000,CA
14400,"36 months",8.8100,99.9999,"""",n/a,MORTGAGE,63600,KS
4500,"36 months",9.9999,99.9999,"Senior Designer","10+ years",MORTGAGE,70200,ME
8000,"36 months",9.9999,99.9999,"""","< 1 year",RENT,95000,CA
18000,"60 months",9.9999,99.9999,Manager,"4 years",OWN,39996,FL
6000,"36 months",9.9999,99.9999,"Respiratory therapist","2 years",RENT,65000,CA
9000,"36 months",9.9999,99.9999,"""","< 1 year",RENT,37000,NM
40000,"36 months",9.9999,99.9999,"Senior Associate","10+ years",MORTGAGE,200000,NJ
25000,"36 months",9.9999,99.9999,President,"10+ years",MORTGAGE,181000,TX
14000,"36 months",9.9999,99.9999,"Jr Accountant","10+ years",RENT,46000,TX
15000,"36 months",8.8100,99.9999,Phlebotomist,"2 years",MORTGAGE,36000,NJ
20000,"60 months",9.9999,99.9999,"Press Technician","10+ years",MORTGAGE,40000,KY
25000,"60 months",8.1900,99.9999,production,"10+ years",MORTGAGE,55000,WI
5000,"36 months",9.9999,99.9999,sales,"10+ years",MORTGAGE,55000,CA
8500,"36 months",6.4600,99.9999,"""","< 1 year",OWN,225000,CA
5000,"36 months",9.9999,99.9999,"Carpenter Foreman","2 years",RENT,65000,VA
14000,"60 months",8.8100,99.9999,"auto damage adjuster","3 years",MORTGAGE,79900,NJ
10000,"36 months",8.8100,99.9999,"Sr. Java Developer","2 years",MORTGAGE,150672,CT
6000,"36 months",8.1900,99.9999,"Registered Nurse","5 years",OWN,107000,HI
14000,"36 months",9.9999,99.9999,"Site Manager/Estimator","10+ years",MORTGAGE,90000,KY
10000,"60 months",9.9999,99.9999,"Information Technology Tech","2 years",RENT,51000,TX
6050,"36 months",7.5600,99.9999,"Machine Operator","1 year",RENT,72000,WA
29900,"60 months",9.9999,99.9999,CBPO,"10+ years",MORTGAGE,210000,TX
16000,"36 months",9.9999,99.9999,"""","10+ years",OWN,100000,PA
12300,"36 months",9.9999,99.9999,paraligal,"8 years",MORTGAGE,65000,NY
35000,"60 months",9.9999,99.9999,"IT Director","4 years",RENT,160000,NY
10000,"36 months",9.9999,99.9999,"""",n/a,OWN,250000,FL
10000,"36 months",9.9999,99.9999,"Customer Service Rep","10+ years",RENT,52000,LA
15000,"36 months",9.9999,99.9999,"Fine Appar Sales Manager","5 years",MORTGAGE,80000,FL
21175,"36 months",9.9999,99.9999,"School Teacher","10+ years",RENT,65000,TX
10000,"36 months",9.9999,99.9999,Marketing,"5 years",MORTGAGE,63000,MI
35000,"60 months",9.9999,99.9999,"""","< 1 year",RENT,75000,NV
18000,"60 months",9.9999,99.9999,"Special Education Teacher","7 years",MORTGAGE,75000,WI
24000,"60 months",9.9999,99.9999,"Physical Therapy Assistant","6 years",MORTGAGE,66000,PA
20000,"36 months",9.9999,99.9999,"Purchasing and payroll","3 years",OWN,60000,NY
15000,"36 months",9.9999,99.9999,"""",n/a,RENT,34860,OK
3000,"36 months",9.9999,99.9999,"""",n/a,OWN,60000,TX
14475,"36 months",9.9999,99.9999,"University Registrar","10+ years",MORTGAGE,55000,KS
25000,"60 months",9.9999,99.9999,RN,"1 year",MORTGAGE,130000,UT
22000,"36 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,150000,NE
10000,"60 months",9.9999,99.9999,"Core Services Manager","7 years",MORTGAGE,55000,NE
13000,"36 months",6.4600,99.9999,"Flight attendant","3 years",RENT,50000,FL
30000,"60 months",9.9999,99.9999,"Chief Mate","10+ years",MORTGAGE,199000,NY
10000,"36 months",8.1900,99.9999,"Assistant Store Manager","2 years",OWN,42000,PA
10000,"36 months",9.9999,99.9999,"Equipment Operator 3","10+ years",MORTGAGE,49650,FL
3600,"36 months",9.9999,99.9999,Courier,"1 year",MORTGAGE,40000,NJ
6000,"36 months",9.9999,99.9999,"truck driver","2 years",MORTGAGE,90000,TX
18000,"60 months",8.1900,99.9999,"Assistant Director of Maintena","10+ years",MORTGAGE,70000,LA
5000,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,19000,AZ
6500,"36 months",7.5600,99.9999,Carpentry,"1 year",RENT,33000,NC
10000,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,40000,NH
11200,"60 months",9.9999,99.9999,"National Account Director","3 years",RENT,173000,IL
15000,"36 months",8.1900,99.9999,Teacher,"10+ years",OWN,55000,NC
28000,"60 months",8.1900,99.9999,"Sales Professional","10+ years",MORTGAGE,110000,CO
25000,"60 months",9.9999,99.9999,Teacher,"1 year",RENT,65000,NC
18000,"60 months",8.1900,99.9999,"Physician Practice Billing Spe","< 1 year",RENT,46992,PA
30000,"60 months",9.9999,99.9999,"""","< 1 year",RENT,80000,CA
17000,"36 months",9.9999,99.9999,"""","< 1 year",OWN,42700,NY
40000,"36 months",9.9999,99.9999,Pharmacist,"5 years",MORTGAGE,120000,FL
12000,"60 months",9.9999,99.9999,LPN,"2 years",RENT,64000,CO
19000,"60 months",9.9999,99.9999,driver,"8 years",RENT,54000,KS
4000,"36 months",7.5600,99.9999,"Worship leader","4 years",RENT,44000,TX
14400,"60 months",9.9999,99.9999,Teacher,"8 years",MORTGAGE,54000,WI
30000,"36 months",8.8100,99.9999,"""","< 1 year",RENT,60000,OR
12000,"60 months",9.9999,99.9999,"""",n/a,MORTGAGE,34000,CA
6000,"36 months",9.9999,99.9999,"""",n/a,RENT,37500,NV
5000,"36 months",8.1900,99.9999,Sales,"2 years",MORTGAGE,74000,LA
11000,"36 months",6.4600,99.9999,"Inside Sales Rep","1 year",RENT,46000,WI
21000,"36 months",9.9999,99.9999,Coordinator,"< 1 year",RENT,50000,UT
1000,"36 months",9.9999,33.6900,"Team Leader","10+ years",MORTGAGE,75000,IL
8000,"36 months",9.9999,99.9999,Teacher,"4 years",RENT,30000,MS
10000,"36 months",9.9999,99.9999,mandrel,"4 years",RENT,21899,CA
13550,"36 months",9.9999,99.9999,"Vice President Senior Consulta","10+ years",MORTGAGE,168000,NJ
19000,"60 months",9.9999,99.9999,"IV Technician","7 years",RENT,50000,CT
28000,"60 months",9.9999,99.9999,"Aquatics Director","10+ years",MORTGAGE,81000,MA
28000,"36 months",9.9999,99.9999,""Managing Director"," Logistics"","3 years",0,cr
20000,"36 months",6.4600,99.9999,"Corporate Development Director","< 1 year",RENT,240000,CA
7000,"36 months",8.8100,99.9999,trainer,"10+ years",MORTGAGE,48000,FL
10000,"60 months",9.9999,99.9999,"Registration and Billing Manag","8 years",MORTGAGE,49200,IL
3000,"36 months",9.9999,99.9999,"Insurance Verifier","1 year",OWN,23000,TX
34500,"36 months",5.0000,99.9999,"""","< 1 year",RENT,150000,CA
6500,"36 months",9.9999,99.9999,"Patient care coordinator","3 years",MORTGAGE,62000,AZ
12000,"60 months",9.9999,99.9999,shuffer,"10+ years",OWN,50000,CA
30000,"60 months",9.9999,99.9999,"Certified Clinical Medical Ass","10+ years",MORTGAGE,70000,TX
6025,"36 months",9.9999,99.9999,Esthetician,"6 years",MORTGAGE,46000,MA
12000,"36 months",9.9999,99.9999,"Finance Manager","10+ years",MORTGAGE,78000,MA
5000,"36 months",9.9999,99.9999,"Mask Washer","3 years",OWN,35000,AL
40000,"36 months",6.4600,99.9999,"Learner Consultant","1 year",RENT,93000,CA
21000,"60 months",9.9999,99.9999,"assit. professor","3 years",MORTGAGE,73500,IL
15000,"36 months",8.8100,99.9999,"Manufacturing Manager","10+ years",MORTGAGE,49000,NC
12000,"36 months",9.9999,99.9999,"Correspondence Specialist","7 years",RENT,55000,OH
16500,"36 months",9.9999,99.9999,Partner,"3 years",MORTGAGE,249000,FL
20000,"36 months",9.9999,99.9999,"hr dept","2 years",RENT,55000,MA
10000,"36 months",9.9999,99.9999,Mechanic,"5 years",MORTGAGE,65000,TX
12000,"36 months",9.9999,99.9999,nurse,"< 1 year",MORTGAGE,46500,TX
40000,"36 months",6.4600,99.9999,"""",n/a,MORTGAGE,140000,PA
25000,"60 months",9.9999,99.9999,"Advance medical support assist","1 year",RENT,41000,MA
8000,"36 months",9.9999,99.9999,"Direction driller","< 1 year",RENT,81254,DE
5000,"36 months",9.9999,99.9999,"Administrative officer","10+ years",MORTGAGE,60000,HI
16000,"36 months",9.9999,99.9999,"Assistant Manager","4 years",MORTGAGE,56000,FL
16000,"60 months",9.9999,99.9999,"Project Manager","10+ years",MORTGAGE,50780,IL
6850,"36 months",8.8100,99.9999,"Call Center Analyst","9 years",RENT,31000,IL
17000,"60 months",8.1900,99.9999,"Planner Coordinator","4 years",MORTGAGE,85000,MD
5400,"36 months",8.1900,99.9999,"Real Estate Agent and Retired ","2 years",RENT,146000,AL
30000,"60 months",9.9999,99.9999,"General Manager","10+ years",RENT,80000,TX
25000,"60 months",8.1900,99.9999,Manager,"10+ years",MORTGAGE,125000,OH
25000,"36 months",6.4600,99.9999,"""",n/a,RENT,95000,OH
15000,"60 months",9.9999,99.9999,"Business Developer","10+ years",MORTGAGE,110500,NY
10000,"36 months",9.9999,99.9999,"Medical Assistant","6 years",MORTGAGE,45824,MN
5000,"36 months",8.8100,99.9999,"FMS/AMS Engineer 1","5 years",RENT,69992,FL
35000,"36 months",9.9999,99.9999,president,"10+ years",MORTGAGE,420000,CA
5000,"36 months",9.9999,99.9999,teacher,"10+ years",MORTGAGE,95000,GA
35000,"36 months",9.9999,99.9999,Sales,"3 years",MORTGAGE,210000,CA
16000,"60 months",9.9999,99.9999,"Case Management","2 years",RENT,68000,CA
8500,"36 months",9.9999,99.9999,"Instructor and co owner","10+ years",OWN,65000,CA
10000,"36 months",9.9999,99.9999,"nurse practitioner","10+ years",OWN,75000,CA
20000,"60 months",9.9999,99.9999,Supervisor,"10+ years",MORTGAGE,63000,CT
12000,"60 months",9.9999,99.9999,"Associate Professor","10+ years",MORTGAGE,136500,AZ
17600,"36 months",5.0000,99.9999,"Senior Site Manager","2 years",RENT,49920,PA
8400,"36 months",9.9999,99.9999,Shipping,"10+ years",MORTGAGE,56000,OH
35000,"36 months",9.9999,99.9999,Plumber,"5 years",MORTGAGE,87372,CA
3025,"36 months",5.0000,93.4400,"""",n/a,OWN,21000,GA
5000,"36 months",9.9999,99.9999,"Technical Recruiter","1 year",OWN,80000,CA
12000,"60 months",9.9999,99.9999,CEO,"6 years",MORTGAGE,55000,KY
11000,"36 months",9.9999,99.9999,"Tenant Services Coordinator","4 years",RENT,80000,NY
18000,"60 months",9.9999,99.9999,"REGISTERED NURSE","10+ years",MORTGAGE,99000,WV
9000,"36 months",6.4600,99.9999,Manager,"3 years",MORTGAGE,50000,FL
20000,"36 months",9.9999,99.9999,Owner,"6 years",MORTGAGE,74540,DE
5000,"36 months",7.5600,99.9999,"Technical Application Speciali","10+ years",MORTGAGE,110000,CO
5000,"36 months",9.9999,99.9999,maintence,"10+ years",MORTGAGE,63200,CA
14000,"60 months",8.1900,99.9999,"Tech II","10+ years",OWN,46290,SC
6500,"36 months",9.9999,99.9999,"SVP Operations","4 years",MORTGAGE,168000,CA
32000,"60 months",9.9999,99.9999,Engineer,"10+ years",OWN,60000,MO
10000,"36 months",9.9999,99.9999,"Immigration Paralegal","3 years",RENT,48000,CT
12000,"36 months",5.0000,99.9999,stager,"3 years",MORTGAGE,75000,NC
40000,"36 months",8.8100,99.9999,"Director of Technology","10+ years",RENT,160000,CA
32000,"60 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,84000,TX
5500,"36 months",9.9999,99.9999,"teacher aide","10+ years",RENT,50000,NY
25000,"60 months",9.9999,99.9999,"Employee Relations Specialist","2 years",RENT,102000,CO
12700,"60 months",8.1900,99.9999,"""",n/a,MORTGAGE,12000,CA
8175,"36 months",8.8100,99.9999,Bookkeeper,"8 years",OWN,30000,FL
2000,"36 months",9.9999,69.3600,"Air Quality Inspector I","< 1 year",RENT,63000,CA
7000,"36 months",9.9999,99.9999,"Store Manager","5 years",MORTGAGE,64000,CA
10000,"60 months",9.9999,99.9999,"Inventory cycle counter","6 years",OWN,78000,NV
5000,"36 months",5.0000,99.9999,"Registered Nurse","4 years",RENT,100000,NV
5000,"36 months",9.9999,99.9999,"Customer Care","2 years",RENT,40000,FL
15000,"36 months",9.9999,99.9999,"""","4 years",OWN,24000,PA
1000,"36 months",9.9999,36.1400,"""",n/a,MORTGAGE,40000,CA
10000,"36 months",6.4600,99.9999,Teacher,"10+ years",MORTGAGE,80000,CA
10000,"36 months",9.9999,99.9999,"""",n/a,RENT,70000,NV
3000,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,80000,MD
16000,"60 months",9.9999,99.9999,lpn,"4 years",OWN,51000,TN
32000,"60 months",9.9999,99.9999,"VP Business Banking Officer 2","2 years",MORTGAGE,125000,CA
6000,"36 months",5.0000,99.9999,"Program Analyst","8 years",MORTGAGE,100203,MD
15000,"60 months",9.9999,99.9999,"""",n/a,MORTGAGE,37500,PA
35000,"60 months",9.9999,99.9999,"Assistant service manager","10+ years",MORTGAGE,100000,NY
25000,"36 months",7.5600,99.9999,"Sr. Director of Planning","< 1 year",MORTGAGE,155000,CA
1000,"36 months",9.9999,38.9200,"Project Superviser","10+ years",OWN,65000,NY
12000,"36 months",9.9999,99.9999,"Accounting & Benefits Manager","10+ years",RENT,72000,TX
8000,"36 months",9.9999,99.9999,"hvac technician","3 years",OWN,50000,LA
20000,"60 months",9.9999,99.9999,"""",n/a,OWN,35000,WA
10000,"36 months",9.9999,99.9999,"Senior Loan officer","1 year",MORTGAGE,250000,RI
19200,"60 months",8.1900,99.9999,"Finance/Business Analyst","10+ years",MORTGAGE,66000,AZ
7000,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,52776,MI
6500,"36 months",8.1900,99.9999,"FT Magnolia specialist","1 year",RENT,30000,ME
4000,"36 months",9.9999,99.9999,"senior branch office administr","10+ years",RENT,60000,CA
19500,"60 months",9.9999,99.9999,"""",n/a,MORTGAGE,18345,MT
3900,"36 months",9.9999,99.9999,"OSS III","< 1 year",RENT,40000,MN
37350,"36 months",8.1900,99.9999,"""",n/a,MORTGAGE,90000,OK
10000,"60 months",9.9999,99.9999,Driver,"< 1 year",MORTGAGE,70000,NM
20000,"60 months",9.9999,99.9999,Owner,"10+ years",RENT,142000,NY
15000,"36 months",8.1900,99.9999,"Supply Chain planner","3 years",RENT,70000,CA
25000,"60 months",8.1900,99.9999,"Senior Director","1 year",MORTGAGE,150000,OR
9000,"36 months",9.9999,99.9999,"""",n/a,RENT,27000,GA
40000,"60 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,77000,FL
25000,"36 months",7.5600,99.9999,"Tenure Faculty","10+ years",RENT,100000,IL
20000,"36 months",8.8100,99.9999,President,"4 years",RENT,150000,IL
12000,"36 months",9.9999,99.9999,"Store Keeper","10+ years",MORTGAGE,152000,VA
6200,"36 months",9.9999,99.9999,COTA,"2 years",OWN,60000,AL
4000,"36 months",5.0000,99.9999,"Program Director","10+ years",MORTGAGE,80420,TN
7500,"36 months",9.9999,99.9999,"""","< 1 year",RENT,45000,TX
10000,"36 months",9.9999,99.9999,"""",n/a,RENT,27804,MI
29950,"60 months",9.9999,99.9999,CEO,"3 years",RENT,132000,CA
4500,"36 months",5.0000,99.9999,"Sales Manager","10+ years",MORTGAGE,95000,IL
22000,"60 months",9.9999,99.9999,"Executive Assistant","10+ years",MORTGAGE,94000,FL
28000,"36 months",9.9999,99.9999,"Instrument Tech","10+ years",MORTGAGE,90000,LA
21000,"60 months",9.9999,99.9999,"""","< 1 year",RENT,30000,CA
12000,"36 months",9.9999,99.9999,"""","2 years",OWN,30920,NH
12000,"36 months",8.8100,99.9999,"Divisional Director of Operati","10+ years",RENT,55200,IN
2400,"36 months",9.9999,79.4900,Packer,"10+ years",MORTGAGE,48000,AL
40000,"60 months",9.9999,99.9999,"Federal Programs Director","10+ years",MORTGAGE,85300,AL
7000,"36 months",8.1900,99.9999,Server,"< 1 year",RENT,41000,PA
15000,"36 months",5.0000,99.9999,"IT Professional","4 years",MORTGAGE,140000,CA
5000,"36 months",6.4600,99.9999,"Claims Specialist","10+ years",MORTGAGE,78267,AL
12000,"36 months",9.9999,99.9999,"Respiratory Therapist","3 years",MORTGAGE,70000,TX
8000,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,24264,AZ
12000,"36 months",5.0000,99.9999,"Sr. Residential Underwriter","2 years",OWN,98000,FL
35000,"36 months",9.9999,99.9999,"Statistical Programmer","3 years",RENT,101000,MA
16500,"36 months",9.9999,99.9999,"System Analyst / Developer","2 years",MORTGAGE,113000,AZ
35000,"60 months",9.9999,99.9999,"Service Coordinator","5 years",MORTGAGE,115000,CA
30000,"36 months",9.9999,99.9999,"Operations Associate","3 years",RENT,102000,NY
13250,"60 months",9.9999,99.9999,"Sr. Manager","10+ years",MORTGAGE,135000,MA
5600,"36 months",9.9999,99.9999,"Senior ClientOfficer","10+ years",RENT,75000,CA
35000,"36 months",6.4600,99.9999,"Dir of Tech","10+ years",OWN,165000,WA
30000,"60 months",9.9999,99.9999,"""",n/a,RENT,66000,MA
23000,"36 months",9.9999,99.9999,"""","1 year",RENT,12000,CA
10000,"36 months",5.0000,99.9999,"Shear operator","3 years",RENT,36000,CA
7000,"36 months",9.9999,99.9999,"Customer Care Operations Mange","10+ years",MORTGAGE,125000,FL
25000,"60 months",9.9999,99.9999,Teacher,"7 years",MORTGAGE,50653,FL
10000,"36 months",9.9999,99.9999,"Flight Attendant","10+ years",MORTGAGE,100000,OH
16000,"60 months",9.9999,99.9999,"Integrated Practice Specialist","10+ years",MORTGAGE,95000,MA
4200,"36 months",9.9999,99.9999,Teacher,"10+ years",MORTGAGE,78000,FL
4000,"36 months",8.1900,99.9999,Secretary/Administrative/Assis,"10+ years",MORTGAGE,22600,OH
10000,"60 months",9.9999,99.9999,"Material Supervisor","3 years",RENT,55000,CA
12500,"36 months",6.4600,99.9999,"Registered Nurse","2 years",RENT,95000,NH
8400,"36 months",9.9999,99.9999,werehouse,"10+ years",RENT,65000,CT
15000,"36 months",7.5600,99.9999,Accountant,"2 years",RENT,84000,NY
10000,"36 months",9.9999,99.9999,"Client Services Manager","2 years",MORTGAGE,60000,WI
13000,"36 months",8.8100,99.9999,"Registered Nurse","10+ years",OWN,71000,NM
10000,"36 months",8.8100,99.9999,"""","< 1 year",RENT,35000,TX
40000,"36 months",6.4600,99.9999,"Vice President","10+ years",MORTGAGE,250000,TX
2500,"36 months",9.9999,88.0700,"""",n/a,MORTGAGE,45000,MD
34000,"60 months",8.1900,99.9999,""Associate Director"," Media Strategy"","3 years",0,de
10000,"36 months",5.0000,99.9999,"""",n/a,MORTGAGE,25000,MD
34000,"60 months",9.9999,99.9999,"Police Officer","10+ years",MORTGAGE,105000,MI
7000,"36 months",9.9999,99.9999,"MWD Operator","5 years",MORTGAGE,135000,MI
35000,"60 months",9.9999,99.9999,Supervisor,"7 years",MORTGAGE,92000,TX
20000,"60 months",9.9999,99.9999,"Engineer tech","10+ years",MORTGAGE,50000,WA
10000,"36 months",9.9999,99.9999,CNA,"6 years",RENT,30000,NY
10000,"36 months",9.9999,99.9999,"Distribution Manager","10+ years",OWN,88000,TX
6000,"36 months",9.9999,99.9999,"Nursing assistant","7 years",RENT,28000,RI
18200,"36 months",9.9999,99.9999,Administrator,"10+ years",MORTGAGE,120000,CA
6000,"36 months",9.9999,99.9999,"Senior DevOps Engineer","1 year",RENT,130000,IL
16000,"36 months",9.9999,99.9999,RDA,"4 years",MORTGAGE,48000,TX
16000,"36 months",9.9999,99.9999,supervisor,"10+ years",RENT,63000,CA
13600,"36 months",8.1900,99.9999,"Jewelry Sales Associate","1 year",RENT,33068,MO
15000,"36 months",8.8100,99.9999,"Medical Unit Clerk","4 years",MORTGAGE,78974,CA
30000,"60 months",9.9999,99.9999,"Lab Tech","4 years",RENT,45000,MN
20000,"36 months",9.9999,99.9999,"IT Director","8 years",MORTGAGE,137000,MD
40000,"60 months",9.9999,99.9999,Director,"4 years",MORTGAGE,200000,NH
10000,"60 months",9.9999,99.9999,"Warehouse associate","6 years",RENT,26000,ID
8000,"36 months",9.9999,99.9999,"Senior Multimedia Designer","3 years",RENT,60000,PA
10000,"36 months",9.9999,99.9999,"Machine Operator","10+ years",RENT,108000,CA
10000,"36 months",9.9999,99.9999,"Lot driver","10+ years",RENT,40000,MO
10000,"36 months",9.9999,99.9999,"Supervisor of Administration","10+ years",OWN,57000,NJ
4800,"36 months",9.9999,99.9999,"Asst. Manager","10+ years",MORTGAGE,79500,FL
3000,"36 months",5.0000,92.6600,"General Management Supervisor","5 years",RENT,55000,NY
8100,"36 months",6.4600,99.9999,Assembler,"2 years",MORTGAGE,65000,WI
17000,"36 months",5.0000,99.9999,"operations manager","10+ years",MORTGAGE,120000,CA
8000,"36 months",5.0000,99.9999,"Sales Consultant","10+ years",MORTGAGE,135000,NJ
25000,"60 months",9.9999,99.9999,Teacher,"6 years",RENT,66500,TX
5300,"36 months",9.9999,99.9999,"Nail tech","9 years",RENT,60000,CA
25200,"36 months",8.8100,99.9999,"""","< 1 year",MORTGAGE,125000,TX
24000,"60 months",9.9999,99.9999,superintendent,"< 1 year",RENT,60000,VA
32000,"60 months",9.9999,99.9999,"Sr System Analyst","3 years",MORTGAGE,130000,CA
15000,"36 months",5.0000,99.9999,"it technician","6 years",RENT,60000,CA
20000,"36 months",8.1900,99.9999,Communications,"10+ years",MORTGAGE,63792,MO
14000,"36 months",9.9999,99.9999,Teacher,"3 years",RENT,70000,MD
10000,"60 months",9.9999,99.9999,"Truck Driver","4 years",RENT,48000,CA
6000,"36 months",9.9999,99.9999,"Food Server","1 year",MORTGAGE,40000,NV
2400,"36 months",9.9999,95.8600,"Operations Area Supervisor","10+ years",RENT,26000,VA
8000,"36 months",8.8100,99.9999,accountant,"3 years",RENT,65000,CA
12000,"36 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,60000,IN
7200,"36 months",8.8100,99.9999,Paraeducator,"6 years",RENT,31900,PA
11000,"60 months",9.9999,99.9999,"finance and operations","7 years",MORTGAGE,120000,TX
5000,"36 months",5.0000,99.9999,"Regional Director","1 year",MORTGAGE,150000,CA
5000,"36 months",8.1900,99.9999,"""",n/a,MORTGAGE,44000,NJ
25000,"60 months",9.9999,99.9999,"senior industrial hygienist","5 years",RENT,96000,FL
3200,"36 months",9.9999,99.9999,"General manager","2 years",MORTGAGE,85000,MN
4500,"36 months",8.8100,99.9999,"HR Representative","1 year",RENT,45000,FL
32600,"36 months",7.5600,99.9999,Engineer,"2 years",RENT,105000,CO
16000,"36 months",8.8100,99.9999,"Professional  Dog groomer","10+ years",OWN,40000,CA
30000,"36 months",9.9999,99.9999,"Executive Administrative Assis","10+ years",MORTGAGE,150000,TX
20000,"36 months",7.5600,99.9999,"""","< 1 year",MORTGAGE,58000,FL
40000,"36 months",5.0000,99.9999,"""",n/a,MORTGAGE,25000,WV
10000,"36 months",9.9999,99.9999,Receptionist,"1 year",RENT,50000,CA
7200,"36 months",9.9999,99.9999,"Family and community engagment","2 years",MORTGAGE,55234,TX
9600,"36 months",9.9999,99.9999,"""",n/a,MORTGAGE,30000,GA
2500,"36 months",9.9999,91.5700,"""",n/a,OWN,16020,AL
16000,"36 months",9.9999,99.9999,manager,"5 years",RENT,127535,CA
3000,"36 months",8.1900,94.2800,"Accounting Support Analyst","2 years",MORTGAGE,39400,OH
21000,"60 months",9.9999,99.9999,"""","6 years",OWN,15000,CA
40000,"36 months",9.9999,99.9999,Owner,"10+ years",OWN,180000,CA
14000,"36 months",9.9999,99.9999,"Vehicle Fleet Manager","9 years",RENT,65000,VA
10000,"36 months",8.1900,99.9999,Homecare,"3 years",RENT,80000,NJ
10000,"36 months",9.9999,99.9999,"Sales VP","10+ years",MORTGAGE,75000,MI
25000,"60 months",9.9999,99.9999,"""","< 1 year",MORTGAGE,140000,GA
4800,"36 months",9.9999,99.9999,Cna,"< 1 year",RENT,34000,CT
5000,"36 months",9.9999,99.9999,Instructor,"10+ years",MORTGAGE,34000,WI
17000,"36 months",8.1900,99.9999,"""","< 1 year",RENT,30000,FL
18000,"60 months",9.9999,99.9999,"""",n/a,MORTGAGE,20652,TN
7000,"36 months",9.9999,99.9999,Bartender,"2 years",RENT,35000,FL
4800,"36 months",9.9999,99.9999,"maintenance technician","5 years",RENT,44000,ID
40000,"60 months",9.9999,99.9999,Supervisor,"3 years",MORTGAGE,65000,PA
15000,"36 months",9.9999,99.9999,"Firnance Director","< 1 year",MORTGAGE,105000,NC
3000,"36 months",9.9999,99.9999,"Surgical Technician","10+ years",MORTGAGE,75000,CA
30000,"60 months",9.9999,99.9999,"VP Business Banker","8 years",MORTGAGE,185000,CA
6000,"36 months",9.9999,99.9999,"Corporate Accountant","1 year",OWN,73000,PA
4000,"36 months",7.5600,99.9999,"""","< 1 year",RENT,52000,AZ
40000,"36 months",6.4600,99.9999,Trainer/Coach,"10+ years",MORTGAGE,166000,OR
6600,"36 months",8.1900,99.9999,"""",n/a,MORTGAGE,44000,IN
25000,"36 months",9.9999,99.9999,"Account Executive","3 years",RENT,150000,CA
14000,"36 months",5.0000,99.9999,"Support Coordinator","< 1 year",ANY,40000,NC
25000,"60 months",9.9999,99.9999,engineering,"2 years",MORTGAGE,105000,NY
20000,"36 months",8.1900,99.9999,"Product Manager","10+ years",MORTGAGE,150000,TX
20000,"60 months",9.9999,99.9999,"Inpatient Coder","10+ years",MORTGAGE,75600,IL
